schema:identifier,schema:latitude,schema:longitude,ksj:NOO,ksj:NPL,ksj:AS3,ksj:DSO,ksj:PAN,ksj:PMP,ksj:CSB,ksj:TPE,ksj:CSU,ksj:DEM,ksj:DEC,ksj:DEE,ksj:DSH,ksj:STS,ksj:FUT,ksj:DBP,ksj:DPS,ksj:DAC,ksj:NWS,ksj:GRP,ksj:TWG,ksj:MGP,ksj:MUW,ksj:MER,ksj:UPP,ksj:LOP,ksj:CWW,ksj:TWW,ksj:NWW,ksj:HPC
fc04_323,36.4366082031839,140.609835211113,東京電力株式会社,常陸那珂火力発電所,茨城県那珂郡東海村照沼768-23,2014,2,1000,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_324,36.5025702049257,140.621872732436,株式会社日立製作所,日立臨海発電所,茨城県日立市大みか町5-2-2,2000-06,1,102.8,専焼,8,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_325,36.5025702049257,140.621872732436,株式会社日立製作所,日立臨海発電所,茨城県日立市大みか町5-2-2,2006-06,2,86.1,専焼,8,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_326,36.5379841003284,140.375116241187,日立造船株式会社,茨城工場第一発電所,茨城県常陸大宮市工業団地4番地,2006-06,3,109,専焼,8,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_327,36.5379841003284,140.375116241187,日立造船株式会社,茨城工場第一発電所,茨城県常陸大宮市工業団地4番地,1999-06,2,102.666,専焼,8,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_328,37.2330266621574,141.01406619364,東京電力株式会社,広野火力発電所,福島県双葉郡広野町大字下北迫字二ツ沼58,2004-07,5,600,専焼,3,石炭,湿式,1970,100,,,,,,,,,,,,,,,,,,
fc04_329,37.2331235263855,141.014070782061,東京電力株式会社,広野火力発電所,福島県双葉郡広野町大字下北迫字二ツ沼58,2010,6,600,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_330,35.3137903893441,139.640489474407,株式会社東京ガス横須賀パワー,横須賀パワーステーション,神奈川県横須賀市浦郷町5丁目2931番地70,2006-06,1,200.2,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_331,37.2330266621574,141.01406619364,東京電力株式会社,広野火力発電所,福島県双葉郡広野町大字下北迫字二ツ沼58,1980-04,1,600,専混焼,8,原油,,0,0,,,,,,,,,,,,,,,,,,
fc04_332,37.2330266621574,141.01406619364,東京電力株式会社,広野火力発電所,福島県双葉郡広野町大字下北迫字二ツ沼58,1989-06,3,1000,専混焼,5,原油,,0,0,,,,,,,,,,,,,,,,,,
fc04_333,37.2330266621574,141.01406619364,東京電力株式会社,広野火力発電所,福島県双葉郡広野町大字下北迫字二ツ沼58,1980-07,2,600,専混焼,5,原油,,0,0,1984-08,,,,,,,,,,,,,,,,,
fc04_334,37.2330266621574,141.01406619364,東京電力株式会社,広野火力発電所,福島県双葉郡広野町大字下北迫字二ツ沼58,1993-01,4,1000,専混焼,5,原油,,2970,100,,,,,,,,,,,,,,,,,,
fc04_335,35.344111380761,139.833797481774,東京電力株式会社,富津火力発電所,千葉県富津市新富25,1986-11,1コ,1000,専焼,4,LNG,,8000,100,,,,,,,,,,,,,,,,,,
fc04_336,35.344111380761,139.833797481774,東京電力株式会社,富津火力発電所,千葉県富津市新富25,1988-11,2コ,1000,専焼,4,LNG,,8000,100,,,,,,,,,,,,,,,,,,
fc04_337,35.3468126152482,139.869229514914,君津共同火力株式会社,君津共同火力発電所,千葉県君津市君津1番地,1970-11,3,350,混焼,8,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_338,35.3468126152482,139.869229514914,君津共同火力株式会社,君津共同火力発電所,千葉県君津市君津1番地,1971-11,4,350,混焼,8,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_339,35.4041227373822,139.635953909228,電源開発株式会社,磯子火力発電所,神奈川県横浜市磯子区,2002-04,1,600,専焼,3,石炭,乾式,2000,100,,,,,,,,,,,,,,,,,,
